time;curr_vacc;max_vacc;max_infec;day_max_infec;vacc_min;day_vacc_min;curr_immune
345.34;7188;9012;96;5629;6072;5593;9857
223.02;8388;8807;63;6892;6715;6856;9766
139.44;7568;8750;43;7438;6705;7405;9664
141.51;8713;9151;167;6597;5819;6514;9776
139.74;8770;8935;113;7685;5958;5573;9792
137.66;7188;8784;52;4772;6930;4733;9722
140.37;7146;9219;81;4777;6919;4744;9806
139.46;7270;9044;66;4736;6976;4717;9734
141.06;8704;8877;79;7890;6678;7863;9906
141.55;7282;8750;37;6974;6141;5319;9715
;7821,7;8932,9;79,7;6339;6491,3;5931,7;9773,8
;723,6153137;168,6801378;38,58914643;1254,757967;444,1976662;1156,418326;71,19113553
