time,curr_vacc,max_vacc,max_infec,day_max_infec,vacc_min,day_vacc_min,curr_immune
147.18,6623,8953,145,5804,6123,5761,9649
144.26,7955,8962,82,7650,6670,4229,9696
182.92,5602,9065,107,4125,5602,7999,9697
149.07,6073,8616,95,5795,6073,7999,9679
315.01,7023,9104,113,4516,5938,4489,9638
375.26,5500,9187,83,3934,5499,7990,9423
366.6,7486,9256,96,4618,5626,4607,9498
147.94,7232,8865,71,4411,6311,4371,9672
142.93,7001,9008,93,4957,5498,4765,9462
142.91,6849,8998,101,4807,5498,4739,9485
