time,curr_vacc,max_vacc,max_infec,day_max_infec,vacc_min,day_vacc_min,curr_immune
146.76,6889,8847,117,3814,5663,3780,9035
156.35,6164,8758,163,4662,3999,4539,8617
156.25,6010,8602,217,5544,5119,4006,8881
157.07,7550,8242,114,4842,5779,3702,9181
160.58,7920,8958,163,4803,3999,4540,9231
162.58,7148,8690,103,4170,4896,4123,9299
158.44,5999,8823,172,4457,4226,4417,8859
157.8,6000,8544,139,4563,4000,4513,8633
166.28,5123,8412,85,4215,4787,4189,8626
157.94,5941,8835,108,3954,5367,3933,9125
